Vds	Gds_Vgs=0.15V	Gds_Vgs=0.30V	Gds_Vgs=0.45V	Gds_Vgs=0.60V	Gds_Vgs=0.75V	Gds_Vgs=0.90V
0	0.0002285826	0.01628302	0.06570344	0.1978302	0.2185124	0.2278556
0.005	0.0002355732	0.0165448	0.08233616	0.1972828	0.2184788	0.227914
0.01	0.000240578	0.01665204	0.1039691	0.1964576	0.218496	0.2279492
0.015	0.0002395078	0.01639168	0.1246481	0.1953184	0.2183252	0.2278424
0.02	0.00022094	0.01525148	0.133095	0.1937532	0.217841	0.2276184
0.025	0.0001829254	0.01316158	0.1236638	0.1918858	0.2169946	0.2271224
0.03	0.000149715	0.0112478	0.113472	0.190028	0.216118	0.226608
0.035	0.000127973	0.0098664	0.10862	0.188146	0.215364	0.226368
0.04	0.000109874	0.0086824	0.103742	0.1862	0.21487	0.22644
0.045	9.489e-05	0.0076438	0.098902	0.184214	0.214632	0.226652
0.05	8.2405e-05	0.0067398	0.094162	0.182458	0.214252	0.226758
0.055	7.1976e-05	0.0059716	0.089452	0.18093	0.213612	0.226562
0.06	6.3297e-05	0.0052966	0.08473	0.17901	0.21282	0.226046
0.065	5.6105e-05	0.0047056	0.080106	0.176748	0.211696	0.22528
0.07	5.008e-05	0.004215	0.075576	0.174444	0.210328	0.22432
0.075	4.4991e-05	0.0038096	0.071128	0.171762	0.20926	0.22354
0.08	4.0794e-05	0.0034526	0.066812	0.16872	0.20826	0.22304
0.085	3.7444e-05	0.0031366	0.062652	0.16594	0.20712	0.22264
0.09	3.457e-05	0.0028748	0.05856	0.16316	0.20588	0.22202
0.095	3.2042e-05	0.0026464	0.0546	0.1602	0.20462	0.22136
0.1	2.9993e-05	0.0024328	0.050876	0.15736	0.20348	0.22088
0.105	2.8381e-05	0.002265	0.04736	0.15442	0.20244	0.22038
0.11	2.7103e-05	0.0021382	0.0441	0.15128	0.20144	0.21986
0.115	2.6069e-05	0.0020194	0.04114	0.14826	0.2005	0.21958
0.12	2.5279e-05	0.0019268	0.038344	0.14532	0.19944	0.21928
0.125	2.3916e-05	0.0018636	0.035642	0.14214	0.1981	0.21864
0.13	2.2528e-05	0.0017934	0.033136	0.13884	0.19672	0.21796
0.135	2.2597e-05	0.001721	0.030822	0.13556	0.19532	0.21732
0.14	2.2771e-05	0.0016692	0.028684	0.1322	0.19392	0.2166
0.145	2.23e-05	0.0016186	0.02674	0.12872	0.1925	0.2159
0.15	2.274e-05	0.0015634	0.024968	0.12516	0.19096	0.21532
0.155	2.322e-05	0.0015288	0.023356	0.12144	0.18924	0.2145
0.16	2.22e-05	0.0015128	0.021892	0.11768	0.18756	0.21358
0.165	2.142e-05	0.0014906	0.020532	0.11404	0.18594	0.21284
0.17	2.148e-05	0.001472	0.01952	0.11038	0.18422	0.2121
0.175	2.14e-05	0.0014672	0.018888	0.10674	0.1826	0.2114
0.18	2.138e-05	0.0014486	0.018164	0.10326	0.1811	0.2109
0.185	2.142e-05	0.0014212	0.017336	0.0997	0.17944	0.21034
0.19	2.128e-05	0.001409	0.016582	0.09596	0.17762	0.20956
0.195	2.116e-05	0.0013946	0.0156	0.09232	0.17578	0.20866
0.2	2.118e-05	0.001377	0.014514	0.08882	0.17382	0.2077
0.205	2.114e-05	0.0013748	0.0138	0.08526	0.17178	0.20682
0.21	2.096e-05	0.0013724	0.01322	0.08164	0.16972	0.20588
0.215	2.092e-05	0.0013654	0.01264	0.0781	0.1676	0.2049
0.22	2.108e-05	0.0013642	0.0122	0.07458	0.16532	0.2039
0.225	2.12e-05	0.0013612	0.0118	0.07108	0.16304	0.20288
0.23	2.132e-05	0.0013522	0.01142	0.06782	0.16082	0.2019
0.235	2.158e-05	0.0013408	0.01108	0.06486	0.15846	0.20092
0.24	2.176e-05	0.0013344	0.0108	0.0619	0.15602	0.19988
0.245	2.158e-05	0.0013366	0.01062	0.05886	0.15368	0.1989
0.25	2.152e-05	0.0013316	0.01044	0.05592	0.1513	0.19788
