Vds	Gm_Vgs=0.15V	Gm_Vgs=0.3V	Gm_Vgs=0.45V	Gm_Vgs=0.6V	Gm_Vgs=0.75V	Gm_Vgs=0.9V
0	6.46394e-06	0.000205116	0.0146568	0.0185904	0.0140724	0.0147784
0.005	6.03858666666667e-06	0.000507273	0.0174482666666667	0.0448674	0.0634857	0.0757183666666667
0.01	5.27078e-06	0.0005540396	0.01758124	0.054161	0.08243264	0.10066864
0.015	4.59487e-06	0.0005977704	0.01766928	0.06244272	0.09942816	0.12240696
0.02	3.865861e-06	0.0005739032	0.01700228	0.0658442	0.10767528	0.13373478
0.025	3.202256e-06	0.0004657898	0.01543608	0.06212436	0.10285722	0.12883162
0.03	2.651586e-06	0.00036776	0.0139152	0.0581458	0.0975624	0.1228034
0.035	2.199028e-06	0.000309354	0.0127446	0.0563498	0.096246	0.121778
0.04	1.82715e-06	0.00026092	0.0116332	0.054556	0.094936	0.120958
0.045	1.517578e-06	0.0002205	0.0105846	0.052762	0.093638	0.120086
0.05	1.2614e-06	0.00018604	0.0096186	0.051012	0.092356	0.11929
0.055	1.0514e-06	0.00015708	0.0087214	0.04927	0.091052	0.118496
0.06	8.768e-07	0.000133	0.0078804	0.047492	0.089668	0.117606
0.065	7.33e-07	0.00011234	0.0071112	0.045738	0.08825	0.116732
0.07	6.152e-07	9.418e-05	0.0064066	0.043998	0.086828	0.11581
0.075	5.196e-07	7.91600000000001e-05	0.0057614	0.042242	0.085384	0.11482
0.08	4.412e-07	6.72200000000001e-05	0.0051706	0.0405	0.0839	0.113834
0.085	3.732e-07	5.70400000000001e-05	0.0046228	0.038804	0.0824	0.113102
0.09	3.154e-07	4.838e-05	0.0041214	0.0371	0.080816	0.1125
0.095	2.672e-07	4.164e-05	0.0036694	0.035406	0.079242	0.111602
0.1	2.234e-07	3.634e-05	0.0032638	0.033788	0.077772	0.110578
0.105	1.886e-07	3.148e-05	0.0029026	0.032226	0.076272	0.109564
0.11	1.644e-07	2.716e-05	0.0025826	0.030688	0.074712	0.108176
0.115	1.416e-07	2.382e-05	0.0022988	0.029196	0.073208	0.106598
0.12	1.254e-07	2.102e-05	0.002043	0.02776	0.07198	0.10536
0.125	1.19e-07	1.868e-05	0.0018088	0.026336	0.07093	0.1042
0.13	1.094e-07	1.692e-05	0.0016048	0.0249	0.06961	0.10296
0.135	9.72000000000006e-08	1.526e-05	0.0014434	0.023482	0.068016	0.10184
